Stakeholder,Stake,Shares owned,Total value ($),Shares bought / sold,Total change,Symbol
Geode Capital Management LLC,2.11%,"1,397,077","307,692,238","+73,986",+5.59%,ESS
"JPMorgan Investment Management, I...",2.02%,"1,335,219","294,068,633","-39,668",-2.89%,ESS
"Northern Trust Investments, Inc.(...",1.88%,"1,246,974","274,633,554","+18,819",+1.53%,ESS
"The Vanguard Group, Inc.",7.71%,"17,144,467","2,731,799,372","-83,449",-0.48%,EL
Fidelity Management & Research Co...,7.01%,"15,573,327","2,481,453,924","-1,803,053",-10.38%,EL
BlackRock Fund Advisors,4.87%,"10,822,293","1,724,424,167","+529,519",+5.14%,EL
"SSgA Funds Management, Inc.",4.55%,"10,106,362","1,610,347,721","+44,119",+0.44%,EL
Fundsmith LLP,3.09%,"6,875,587","1,095,556,033","+108,840",+1.61%,EL
Magellan Asset Management Ltd.,3.03%,"6,737,395","1,073,536,519","+2,801,687",+71.19%,EL
Edgewood Management LLC,2.78%,"6,171,781","983,411,585","-9,255",-0.15%,EL
Jennison Associates LLC,2.72%,"6,056,701","965,074,737","-915,974",-13.14%,EL
"Northern Trust Investments, Inc.(...",1.63%,"3,625,635","577,708,681","-41,478",-1.13%,EL
Geode Capital Management LLC,1.38%,"3,076,676","490,237,554","-394,739",-11.37%,EL
"The Vanguard Group, Inc.",13.12%,"29,743,442","1,637,376,482","-804,451",-2.63%,EVRG
BlackRock Fund Advisors,6.24%,"14,143,546","778,602,207","-81,607",-0.57%,EVRG
"SSgA Funds Management, Inc.",5.44%,"12,340,471","679,342,929","+226,612",+1.87%,EVRG
Renaissance Technologies LLC,2.64%,"5,986,756","329,570,918","-1,005,700",-14.38%,EVRG
Magellan Asset Management Ltd.,1.71%,"3,878,123","213,490,671",+554,+0.01%,EVRG
Geode Capital Management LLC,1.59%,"3,609,877","198,723,729","+137,650",+3.96%,EVRG
Fidelity Management & Research Co...,1.53%,"3,466,638","190,838,422","+1,237,550",+55.52%,EVRG
Invesco Capital Management LLC,1.45%,"3,274,839","180,279,887","-230,444",-6.57%,EVRG
"Franklin Advisers, Inc.",1.36%,"3,091,166","170,168,688","-1,095,639",-26.17%,EVRG
"Northern Trust Investments, Inc.(...",1.36%,"3,088,741","170,035,192","+78,899",+2.62%,EVRG
"The Vanguard Group, Inc.",12.31%,"40,661,307","3,180,120,820","+461,121",+1.15%,ES
BlackRock Fund Advisors,6.42%,"21,200,857","1,658,119,026","+525,452",+2.54%,ES
"SSgA Funds Management, Inc.",5.51%,"18,208,105","1,424,055,892","+893,951",+5.16%,ES
Magellan Asset Management Ltd.,4.86%,"16,049,012","1,255,193,229","+5,882,982",+57.87%,ES
"T. Rowe Price Associates, Inc. (I...",3.59%,"11,841,560","926,128,408","-6,010,045",-33.67%,ES
Wellington Management Co. LLP,2.70%,"8,915,240","697,260,920","-209,522",-2.30%,ES
Goldman Sachs & Co. LLC (Private ...,2.42%,"8,008,098","626,313,345","+4,094,987",+104.65%,ES
Newton Investment Management Ltd.,2.21%,"7,291,575","570,274,081","-805,988",-9.95%,ES
Wells Fargo Clearing Services LLC,1.68%,"5,537,285","433,071,060","+8,795",+0.16%,ES
Geode Capital Management LLC,1.63%,"5,372,544","420,186,666","+269,719",+5.29%,ES
"The Vanguard Group, Inc.",10.98%,"4,481,994","862,425,285","+43,872",+0.99%,RE
BlackRock Fund Advisors,8.22%,"3,354,619","645,495,788","+60,293",+1.83%,RE
"SSgA Funds Management, Inc.",5.22%,"2,128,654","409,595,603","+14,311",+0.68%,RE
AQR Capital Management LLC,4.91%,"2,003,530","385,519,243","+298,563",+17.51%,RE
"Boston Partners Global Investors,...",4.52%,"1,846,046","355,216,171","-232,780",-11.20%,RE
Franklin Mutual Advisers LLC,3.55%,"1,450,479","279,101,169","+280,968",+24.02%,RE
AllianceBernstein LP,3.21%,"1,309,308","251,937,045","-332,621",-20.26%,RE
LSV Asset Management,2.51%,"1,025,181","197,265,328","-66,060",-6.05%,RE
Vulcan Value Partners LLC,2.50%,"1,020,284","196,323,047","-95,879",-8.59%,RE
Champlain Investment Partners LLC,2.45%,"1,001,590","192,725,948","+2,540",+0.25%,RE
"The Vanguard Group, Inc.",8.49%,"82,656,383","3,042,581,458","+564,233",+0.69%,EXC
"SSgA Funds Management, Inc.",6.17%,"60,061,090","2,210,848,723","-934,046",-1.53%,EXC
Wellington Management Co. LLP,5.09%,"49,543,523","1,823,697,082","+21,520,378",+76.80%,EXC
BlackRock Fund Advisors,4.99%,"48,594,005","1,788,745,324","-1,369,125",-2.74%,EXC
Fidelity Management & Research Co...,2.88%,"28,031,791","1,031,850,227","+916,959",+3.38%,EXC
Capital Research & Management Co....,2.63%,"25,629,964","943,438,975","+7,798,866",+43.74%,EXC
"Invesco Advisers, Inc.",1.64%,"15,983,381","588,348,255","+784,065",+5.16%,EXC
