Stakeholder,Stake,Shares owned,Total value ($),Shares bought / sold,Total change,Symbol
BlackRock Fund Advisors,4.39%,"105,741,176","17,637,628,157","+867,568",+0.83%,FB
"SSgA Funds Management, Inc.",3.92%,"94,316,951","15,732,067,427","+881,118",+0.94%,FB
Capital Research & Management Co....,3.04%,"73,111,043","12,194,921,972","+409,290",+0.56%,FB
Capital Research & Management Co....,1.94%,"46,700,441","7,789,633,559","+2,405,542",+5.43%,FB
Capital Research & Management Co....,1.88%,"45,189,119","7,537,545,049","+781,073",+1.76%,FB
Geode Capital Management LLC,1.42%,"34,088,672","5,685,990,490","+909,982",+2.74%,FB
"Northern Trust Investments, Inc.(...",1.15%,"27,750,348","4,628,758,046","-146,382",-0.52%,FB
"The Vanguard Group, Inc.",11.91%,"68,434,986","2,138,593,313","+570,666",+0.84%,FAST
BlackRock Fund Advisors,5.49%,"31,511,504","984,734,500","-703,019",-2.18%,FAST
"SSgA Funds Management, Inc.",5.30%,"30,421,624","950,675,750","-644,748",-2.08%,FAST
Walter Scott & Partners Ltd.,4.06%,"23,340,756","729,398,625","-673,668",-2.81%,FAST
Route One Investment Co. LP,2.11%,"12,103,598","378,237,438","-3,635,500",-23.10%,FAST
Managed Account Advisors LLC,1.95%,"11,207,856","350,245,500","-226,575",-1.98%,FAST
Geode Capital Management LLC,1.83%,"10,491,607","327,862,719","+269,156",+2.63%,FAST
Principal Global Investors LLC,1.55%,"8,883,541","277,610,656","+621,353",+7.52%,FAST
"Ensign Peak Advisors, Inc.",1.36%,"7,781,471","243,170,969","+7,781,471",--,FAST
"Northern Trust Investments, Inc.(...",1.24%,"7,124,563","222,642,594","-198,806",-2.71%,FAST
"The Vanguard Group, Inc.",16.27%,"11,812,699","881,345,472","+167,969",+1.44%,FRT
"SSgA Funds Management, Inc.",9.26%,"6,723,202","501,618,101","-497,653",-6.89%,FRT
Norges Bank Investment Management,8.56%,"6,212,626","463,524,026","+1,720,157",+38.29%,FRT
BlackRock Fund Advisors,6.75%,"4,898,409","365,470,295","+24,018",+0.49%,FRT
"JPMorgan Investment Management, I...",5.37%,"3,901,740","291,108,821","-227,302",-5.50%,FRT
PGGM Vermogensbeheer BV,2.63%,"1,907,362","142,308,279",0,0.00%,FRT
Geode Capital Management LLC,1.96%,"1,426,525","106,433,030","+70,979",+5.24%,FRT
"Northern Trust Investments, Inc.(...",1.75%,"1,267,015","94,531,989","-49,321",-3.75%,FRT
Invesco Capital Management LLC,1.65%,"1,195,636","89,206,402","-16,106",-1.33%,FRT
Dimensional Fund Advisors LP,1.59%,"1,157,345","86,349,510","+12,082",+1.05%,FRT
Dodge & Cox,9.95%,"25,991,484","3,151,727,350","+2,240,214",+9.43%,FDX
"The Vanguard Group, Inc.",7.58%,"19,811,638","2,402,359,224","+152,669",+0.78%,FDX
PRIMECAP Management Co.,5.63%,"14,700,149","1,782,540,068","-58,805",-0.40%,FDX
BlackRock Fund Advisors,4.14%,"10,819,278","1,311,945,650","+212,537",+2.00%,FDX
"SSgA Funds Management, Inc.",3.84%,"10,029,674","1,216,198,269","+105,441",+1.06%,FDX
Artisan Partners LP,1.93%,"5,036,716","610,752,182","+1,120,770",+28.62%,FDX
Parnassus Investments,1.60%,"4,175,447","506,314,703","+76,228",+1.86%,FDX
Geode Capital Management LLC,1.25%,"3,273,770","396,977,350","+104,279",+3.29%,FDX
Bill & Melinda Gates Foundation T...,1.16%,"3,024,999","366,811,379",0,0.00%,FDX
Fidelity Management & Research Co...,1.11%,"2,888,214","350,224,830","+291,602",+11.23%,FDX
"The Vanguard Group, Inc.",7.73%,"47,649,851","5,796,127,876","+324,152",+0.68%,FIS
"T. Rowe Price Associates, Inc. (I...",6.75%,"41,608,400","5,061,245,776","-4,559,107",-9.88%,FIS
BlackRock Fund Advisors,4.91%,"30,262,396","3,681,117,849","+1,026,818",+3.51%,FIS
"SSgA Funds Management, Inc.",4.14%,"25,535,048","3,106,083,239","+463,778",+1.85%,FIS
Massachusetts Financial Services ...,3.52%,"21,669,873","2,635,923,352","+123,100",+0.57%,FIS
Fidelity Management & Research Co...,2.17%,"13,352,046","1,624,142,875","+103,559",+0.78%,FIS
Capital Research & Management Co....,2.14%,"13,168,151","1,601,773,888","-9,727,139",-42.49%,FIS
Longview Partners LLP,1.56%,"9,608,614","1,168,791,807","-3,736",-0.04%,FIS
Geode Capital Management LLC,1.46%,"8,994,573","1,094,099,860","+520,871",+6.15%,FIS
Artisan Partners LP,1.44%,"8,895,538","1,082,053,242","+170,749",+1.96%,FIS
"T. Rowe Price Associates, Inc. (I...",10.04%,"71,361,962","1,059,725,136","+4,290,787",+6.40%,FITB
"The Vanguard Group, Inc.",8.52%,"60,612,468","900,095,150","-837,885",-1.36%,FITB
"SSgA Funds Management, Inc.",4.83%,"34,339,705","509,944,619","-292,158",-0.84%,FITB
BlackRock Fund Advisors,4.80%,"34,114,270","506,596,910","-770,007",-2.21%,FITB
Sanders Capital LLC,2.71%,"19,297,015","286,560,673","+309,250",+1.63%,FITB
"Invesco Advisers, Inc.",2.20%,"15,666,067","232,641,095","-433,391",-2.69%,FITB
"JPMorgan Investment Management, I...",2.11%,"15,015,971","222,987,169","-891,283",-5.60%,FITB
Managed Account Advisors LLC,1.72%,"12,238,041","181,734,909","+11,426,241","+1,407.52%",FITB
Geode Capital Management LLC,1.70%,"12,075,689","179,323,982","+134,080",+1.12%,FITB
"Boston Partners Global Investors,...",1.59%,"11,298,111","167,776,948","+200,014",+1.80%,FITB
"The Vanguard Group, Inc.",12.29%,"66,438,661","2,662,197,146","+625,968",+0.95%,FE
"SSgA Funds Management, Inc.",7.33%,"39,639,882","1,588,370,072","+1,805,041",+4.77%,FE
BlackRock Fund Advisors,6.18%,"33,388,488","1,337,876,714","+1,618,361",+5.09%,FE
Massachusetts Financial Services ...,5.68%,"30,704,290","1,230,320,900","+620,424",+2.06%,FE
Renaissance Technologies LLC,1.90%,"10,268,300","411,450,781","+665,200",+6.93%,FE
Geode Capital Management LLC,1.58%,"8,565,358","343,213,895","+556,911",+6.95%,FE
BlackRock Advisors LLC,1.55%,"8,387,710","336,095,540","-521,358",-5.85%,FE
TIAA-CREF Investment Management L...,1.55%,"8,378,054","335,708,624","-1,531,399",-15.45%,FE
"T. Rowe Price Associates, Inc. (I...",1.48%,"7,976,275","319,609,339","-618,795",-7.20%,FE
"Northern Trust Investments, Inc.(...",1.25%,"6,771,661","271,340,456","+252,684",+3.88%,FE
"The Vanguard Group, Inc.",8.42%,"14,419,797","1,186,460,897","+259,831",+1.83%,FRC
Capital Research & Management Co....,6.61%,"11,327,161","931,998,807","+3,342",+0.03%,FRC
"SSgA Funds Management, Inc.",5.58%,"9,554,046","786,106,905","-9,718",-0.10%,FRC
BlackRock Fund Advisors,4.73%,"8,109,184","667,223,660","+72,013",+0.90%,FRC
Capital Research & Management Co....,3.28%,"5,623,485","462,700,346","-1,044,592",-15.67%,FRC
Principal Global Investors LLC,3.14%,"5,381,031","442,751,231","-35,408",-0.65%,FRC
Goldman Sachs & Co. LLC (Private ...,2.97%,"5,082,375","418,177,815","+66,876",+1.33%,FRC
Capital Research & Management Co....,2.85%,"4,888,791","402,249,723","-3,443",-0.07%,FRC
"JPMorgan Investment Management, I...",2.77%,"4,748,231","390,684,447","-146,564",-2.99%,FRC
Select Equity Group LP,2.50%,"4,284,560","352,533,597","-20,471",-0.48%,FRC
"T. Rowe Price Associates, Inc. (I...",8.08%,"54,890,998","5,214,095,900","+356,120",+0.65%,FISV
"The Vanguard Group, Inc.",6.60%,"44,808,892","4,256,396,651","+357,782",+0.80%,FISV
BlackRock Fund Advisors,4.79%,"32,499,743","3,087,150,588","-964,435",-2.88%,FISV
Massachusetts Financial Services ...,4.02%,"27,289,627","2,592,241,669","+340,147",+1.26%,FISV
"SSgA Funds Management, Inc.",3.49%,"23,680,732","2,249,432,733","+7,449",+0.03%,FISV
Capital Research & Management Co....,1.86%,"12,612,585","1,198,069,449","+4,919",+0.04%,FISV
Fidelity Management & Research Co...,1.75%,"11,876,350","1,128,134,487","-69,392",-0.58%,FISV
Geode Capital Management LLC,1.46%,"9,905,414","940,915,276","+440,941",+4.66%,FISV
Capital Research & Management Co....,1.14%,"7,745,176","735,714,268","+1,502,688",+24.07%,FISV
Egerton Capital (UK) LLP,1.14%,"7,714,083","732,760,744","+2,419,458",+45.70%,FISV
"The Vanguard Group, Inc.",11.14%,"9,517,053","1,775,311,067","+87,287",+0.93%,FLT
"T. Rowe Price Associates, Inc. (I...",7.16%,"6,115,898","1,140,859,613","+435,971",+7.68%,FLT
Capital Research & Management Co....,6.44%,"5,504,740","1,026,854,200","-265,686",-4.60%,FLT
BlackRock Fund Advisors,5.46%,"4,659,851","869,248,606","+78,347",+1.71%,FLT
Jennison Associates LLC,5.13%,"4,386,261","818,213,127","+431,872",+10.92%,FLT
Wellington Management Co. LLP,4.46%,"3,807,310","710,215,607","-157,765",-3.98%,FLT
"SSgA Funds Management, Inc.",4.00%,"3,420,684","638,094,393","+50,686",+1.50%,FLT
Fidelity Management & Research Co...,2.52%,"2,148,223","400,729,518","-173,850",-7.49%,FLT
Brown Brothers Harriman & Co. (In...,2.46%,"2,103,602","392,405,917","-344,448",-14.07%,FLT
Massachusetts Financial Services ...,2.33%,"1,990,995","371,400,207","+64,775",+3.36%,FLT
"The Vanguard Group, Inc.",11.02%,"14,818,558","472,563,815","-109,307",-0.73%,FLIR
BlackRock Fund Advisors,5.83%,"7,835,786","249,883,216","+128,234",+1.66%,FLIR
"T. Rowe Price Associates, Inc. (I...",5.18%,"6,970,033","222,274,352","+1,270,404",+22.29%,FLIR
"SSgA Funds Management, Inc.",4.25%,"5,716,185","182,289,140","+84,474",+1.50%,FLIR
Atlanta Capital Management Co. LL...,3.09%,"4,150,852","132,370,670",-418,-0.01%,FLIR
Capital Research & Management Co....,2.93%,"3,938,830","125,609,289","+31,321",+0.80%,FLIR
AustralianSuper Pty Ltd.,2.33%,"3,125,626","99,676,213",0,0.00%,FLIR
Mellon Investments Corp.,1.77%,"2,373,521","75,691,585","+32,898",+1.41%,FLIR
Geode Capital Management LLC,1.76%,"2,362,292","75,333,492","+68,804",+3.00%,FLIR
EARNEST Partners LLC,1.68%,"2,262,571","72,153,389","+132,616",+6.23%,FLIR
"EdgePoint Investment Group, Inc.",13.41%,"17,550,570","419,283,117","+175,939",+1.01%,FLS
"The Vanguard Group, Inc.",10.57%,"13,829,997","330,398,628","-37,001",-0.27%,FLS
First Eagle Investment Management...,9.26%,"12,116,082","289,453,199","+53,150",+0.44%,FLS
"Invesco Advisers, Inc.",6.66%,"8,720,523","208,333,294","+71,853",+0.83%,FLS
BlackRock Fund Advisors,4.95%,"6,477,743","154,753,280","+81,404",+1.27%,FLS
"T. Rowe Price Associates, Inc. (I...",4.57%,"5,977,111","142,793,182","-1,209,465",-16.83%,FLS
"SSgA Funds Management, Inc.",4.10%,"5,371,921","128,335,193","+68,949",+1.30%,FLS
Invesco Canada Ltd.,2.82%,"3,691,930","88,200,208","+2,469",+0.07%,FLS
Fidelity Management & Research Co...,2.60%,"3,400,996","81,249,794","-214,320",-5.93%,FLS
The Caisse de d�p�t et placement ...,2.19%,"2,865,398","68,454,358","+387,816",+15.65%,FLS
"The Vanguard Group, Inc.",11.06%,"14,311,357","1,169,094,753","-30,640",-0.21%,FMC
Wellington Management Co. LLP,8.24%,"10,667,206","871,404,058","+1,415,823",+15.30%,FMC
"SSgA Funds Management, Inc.",4.94%,"6,388,776","521,899,111","-68,174",-1.06%,FMC
BlackRock Fund Advisors,4.75%,"6,148,774","502,293,348","+57,029",+0.94%,FMC
"Boston Partners Global Investors,...",3.90%,"5,052,650","412,750,979","-1,118,394",-18.12%,FMC
Columbia Management Investment Ad...,2.80%,"3,619,430","295,671,237","-369,571",-9.26%,FMC
Fidelity Management & Research Co...,2.57%,"3,325,204","271,635,915","+1,486,649",+80.86%,FMC
Glenview Capital Management LLC,2.34%,"3,032,464","247,721,984","-1,251,368",-29.21%,FMC
Luther King Capital Management Co...,2.28%,"2,945,283","240,600,168","+32,012",+1.10%,FMC
"Northern Trust Investments, Inc.(...",1.79%,"2,321,553","189,647,665","-188,452",-7.51%,FMC
"The Vanguard Group, Inc.",7.70%,"299,803,178","1,448,049,350","+521,877",+0.17%,F
BlackRock Fund Advisors,5.69%,"221,718,448","1,070,900,104","+4,201,641",+1.93%,F
Newport Trust Co.,4.66%,"181,332,399","875,835,487","-4,093,525",-2.21%,F
"SSgA Funds Management, Inc.",4.61%,"179,629,126","867,608,679","+1,059,652",+0.59%,F
Geode Capital Management LLC,1.52%,"59,039,835","285,162,403","+1,372,342",+2.38%,F
"Northern Trust Investments, Inc.(...",1.08%,"41,932,456","202,533,762","-322,973",-0.76%,F
Dimensional Fund Advisors LP,1.04%,"40,654,860","196,362,974","+44,647",+0.11%,F
"Greenhaven Associates, Inc.",0.88%,"34,190,726","165,141,207","-468,694",-1.35%,F
